species	family	primate_group_code	primate_group
Microcebus_bongolavensis	Cheirogaleidae	STR	Strepsirrhines
Microcebus_boraha	Cheirogaleidae	STR	Strepsirrhines
Microcebus_danfossi	Cheirogaleidae	STR	Strepsirrhines
Microcebus_ganzhorni	Cheirogaleidae	STR	Strepsirrhines
Microcebus_gerpi	Cheirogaleidae	STR	Strepsirrhines
Microcebus_griseorufus	Cheirogaleidae	STR	Strepsirrhines
Microcebus_jollyae	Cheirogaleidae	STR	Strepsirrhines
Microcebus_lehilahytsara	Cheirogaleidae	STR	Strepsirrhines
Microcebus_macarthurii	Cheirogaleidae	STR	Strepsirrhines
Microcebus_mamiratra	Cheirogaleidae	STR	Strepsirrhines
Microcebus_manitatra	Cheirogaleidae	STR	Strepsirrhines
Microcebus_margotmarshae	Cheirogaleidae	STR	Strepsirrhines
Microcebus_marohita	Cheirogaleidae	STR	Strepsirrhines
Microcebus_mittermeieri	Cheirogaleidae	STR	Strepsirrhines
Microcebus_murinus	Cheirogaleidae	STR	Strepsirrhines
Microcebus_myoxinus	Cheirogaleidae	STR	Strepsirrhines
Microcebus_ravelobensis	Cheirogaleidae	STR	Strepsirrhines
Microcebus_rufus	Cheirogaleidae	STR	Strepsirrhines
Microcebus_sambiranensis	Cheirogaleidae	STR	Strepsirrhines
Microcebus_simmonsi	Cheirogaleidae	STR	Strepsirrhines
Microcebus_tanosi	Cheirogaleidae	STR	Strepsirrhines
Microcebus_tavaratra	Cheirogaleidae	STR	Strepsirrhines
Miopithecus_ogouensis	Cercopithecidae	OWM	Old World monkeys
Miopithecus_talapoin	Cercopithecidae	OWM	Old World monkeys
Mirza_coquereli	Cheirogaleidae	STR	Strepsirrhines
Mirza_zaza	Cheirogaleidae	STR	Strepsirrhines
Nasalis_larvatus	Cercopithecidae	OWM	Old World monkeys
Nomascus_annamensis	Hylobatidae	APE	Apes
Nomascus_concolor	Hylobatidae	APE	Apes
Nomascus_gabriellae	Hylobatidae	APE	Apes
Nomascus_hainanus	Hylobatidae	APE	Apes
Nomascus_leucogenys	Hylobatidae	APE	Apes
Nomascus_nasutus	Hylobatidae	APE	Apes
Nomascus_siki	Hylobatidae	APE	Apes
Nycticebus_bancanus	Lorisidae	STR	Strepsirrhines
Nycticebus_bengalensis	Lorisidae	STR	Strepsirrhines
Nycticebus_borneanus	Lorisidae	STR	Strepsirrhines
Nycticebus_coucang	Lorisidae	STR	Strepsirrhines
Nycticebus_javanicus	Lorisidae	STR	Strepsirrhines
Nycticebus_kayan	Lorisidae	STR	Strepsirrhines
Nycticebus_menagensis	Lorisidae	STR	Strepsirrhines
Nycticebus_pygmaeus	Lorisidae	STR	Strepsirrhines
Otolemur_crassicaudatus	Galagidae	STR	Strepsirrhines
Otolemur_garnettii	Galagidae	STR	Strepsirrhines
Pan_paniscus	Hominidae	APE	Apes
Pan_troglodytes	Hominidae	APE	Apes
Papio_anubis	Cercopithecidae	OWM	Old World monkeys
Papio_cynocephalus	Cercopithecidae	OWM	Old World monkeys
Papio_hamadryas	Cercopithecidae	OWM	Old World monkeys
Papio_kindae	Cercopithecidae	OWM	Old World monkeys
Papio_papio	Cercopithecidae	OWM	Old World monkeys
Papio_ursinus	Cercopithecidae	OWM	Old World monkeys
Paragalago_granti	Galagidae	STR	Strepsirrhines
Paragalago_cocos	Galagidae	STR	Strepsirrhines
Paragalago_orinus	Galagidae	STR	Strepsirrhines
Paragalago_rondoensis	Galagidae	STR	Strepsirrhines
Paragalago_zanzibaricus	Galagidae	STR	Strepsirrhines
